LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,total_fees,pnl_net,elapsed_s
0.0018,0.5,0.1,10479.809728499888,0.6515837104072398,221,144,77,0.31928863393185625,10679.809728499888,10679.809728499888,270,244.95796646300082,10479.809728499888,13.369004167
0.0018,0.5,0.125,10652.769123979178,0.6515837104072398,221,144,77,0.3387637439494088,10852.769123979178,10852.769123979178,270,253.32163213875944,10652.769123979178,13.370805459
0.0018,0.55,0.03,2536.047336702166,0.7528089887640449,178,134,44,0.23468527236227238,2736.047336702166,2736.047336702166,443,58.58101354658948,2536.047336702166,13.092057792
0.0018,0.55,0.05,18967.610435145853,0.6891495601173021,341,235,106,0.2685781476332666,19207.676657715863,19167.610435145853,439,450.05859440469357,18967.610435145853,13.021162
0.0018,0.55,0.075,24545.760209359894,0.6918767507002801,357,247,110,0.292527683758667,24785.826431929905,24745.760209359894,439,584.9331563738131,24545.760209359894,13.17688675
0.0018,0.55,0.1,25095.46596275277,0.6927374301675978,358,248,110,0.3373103849299778,25335.53218532278,25295.46596275277,439,605.227520558827,25095.46596275277,13.8350965
0.0018,0.55,0.125,25244.247861971413,0.6927374301675978,358,248,110,0.3547269727372324,25484.314084541424,25444.247861971413,439,610.5491645174237,25244.247861971413,13.391163666
0.0018,0.6,0.03,8814.122695586864,0.7344262295081967,305,224,81,0.15911721125033176,9014.122695586864,9014.122695586864,555,210.57979827300912,8814.122695586864,13.358568917
0.0018,0.6,0.05,24097.095857712702,0.6883720930232559,430,296,134,0.2610421346339764,24337.563238649585,24297.095857712702,555,646.6139474313443,24097.095857712702,13.2478355
0.0018,0.6,0.075,26682.28465895691,0.6889400921658986,434,299,135,0.3127874707865232,26922.752039893792,26882.28465895691,555,738.0261293743064,26682.28465895691,13.879098834
0.0018,0.6,0.1,27343.86100224891,0.6873563218390805,435,299,136,0.32871149975997876,27584.32838318579,27543.86100224891,555,758.8635717690565,27343.86100224891,13.537275709
0.0018,0.6,0.125,27686.655994547342,0.6880733944954128,436,300,136,0.35943829152755885,27927.123375484225,27886.655994547342,555,774.6446704978989,27686.655994547342,13.348722084
0.0018,0.65,0.03,3205.3373142950877,0.7413793103448276,232,172,60,0.18747647895819483,3405.3373142950877,3405.3373142950877,647,85.74208620242493,3205.3373142950877,12.527793167
0.0018,0.65,0.05,19860.1488822303,0.6791569086651054,427,290,137,0.1731433893809727,20100.616263167183,20060.1488822303,635,586.3467258460504,19860.1488822303,14.186655583
0.0018,0.65,0.075,23828.524460973455,0.6806526806526807,429,292,137,0.19828412178863916,24068.991841910338,24028.524460973455,635,706.0706206567593,23828.524460973455,13.238249667
0.0018,0.65,0.1,25050.639509637313,0.6783216783216783,429,291,138,0.2582945252026787,25291.106890574196,25250.639509637313,635,734.2828251702374,25050.639509637313,13.22711775
0.0018,0.65,0.125,25283.19585428719,0.6768867924528302,424,287,137,0.3032605445839443,25523.663235224074,25483.19585428719,634,741.1596753452744,25283.19585428719,10.035525917
0.0018,0.7,0.03,3239.3991672110574,0.7349397590361446,249,183,66,0.17227453548723584,3535.4970983129965,3439.3991672110574,753,92.88932953801721,3239.3991672110574,13.079257833
0.0018,0.7,0.05,14332.208694933925,0.7103658536585366,328,233,95,0.2539689276163799,15027.303322754613,14532.208694933925,751,421.17008157917815,14332.208694933925,13.053409083
0.0018,0.7,0.075,21961.48344477002,0.6935866983372921,421,292,129,0.29217843585898284,22656.57807259071,22161.48344477002,741,663.6258480323727,21961.48344477002,12.94041125
0.0018,0.7,0.1,23878.68454501544,0.6924778761061947,452,313,139,0.35187609938573794,24573.77917283613,24078.68454501544,740,728.3137440448787,23878.68454501544,13.248899167
0.0018,0.7,0.125,24793.359953881085,0.6931567328918322,453,314,139,0.39963662481676004,25488.454581701775,24993.359953881085,740,755.6854813749653,24793.359953881085,9.671204375
