LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,SPREAD_CAPTURE_THRESHOLD,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.6,0.03,0.975,14189.93568284184,0.771505376344086,372,287,85,0.1257608934127857,14710.33948403792,14389.93568284184,946,0.6678635547576302,0.12634408602150538,185,8,8,1000.0860215053764,0.010330874083111539,0,3002577,349.24301715816017,14539.1787,14189.93568284184,13.252855542
0.0008,0.6,0.03,0.98,14189.93568284184,0.771505376344086,372,287,85,0.1257608934127857,14710.33948403792,14389.93568284184,946,0.6678635547576302,0.12634408602150538,185,8,8,1000.0860215053764,0.010330874083111539,0,3002577,349.24301715816017,14539.1787,14189.93568284184,13.056161666
0.0008,0.6,0.03,0.985,13909.01634844184,0.7694369973190348,373,287,86,0.1257608934127857,14710.33948403792,14109.01634844184,951,0.6637010676156584,0.128686327077748,189,9,9,1000.0857908847184,0.010236504281498252,0,3002577,352.44235155816017,14261.458700000001,13909.01634844184,12.186803416
0.0008,0.6,0.05,0.965,31164.154682383043,0.7700534759358288,374,288,86,0.18665488364148486,31684.558483579123,31364.154682383043,946,0.669051878354204,0.35561497326203206,185,8,8,1000.0855614973262,0.009127592047989222,0,3002577,781.6869176169596,31945.841600000003,31164.154682383043,12.703183083
0.0008,0.6,0.05,0.97,31164.154682383043,0.7700534759358288,374,288,86,0.18665488364148486,31684.558483579123,31364.154682383043,946,0.669051878354204,0.35561497326203206,185,8,8,1000.0855614973262,0.009127592047989222,0,3002577,781.6869176169596,31945.841600000003,31164.154682383043,12.703645333
0.0008,0.6,0.05,0.975,31164.154682383043,0.7700534759358288,374,288,86,0.18665488364148486,31684.558483579123,31364.154682383043,946,0.669051878354204,0.35561497326203206,185,8,8,1000.0855614973262,0.009127592047989222,0,3002577,781.6869176169596,31945.841600000003,31164.154682383043,14.238015875
0.0008,0.6,0.05,0.98,31164.154682383043,0.7700534759358288,374,288,86,0.18665488364148486,31684.558483579123,31364.154682383043,946,0.669051878354204,0.35561497326203206,185,8,8,1000.0855614973262,0.009127592047989222,0,3002577,781.6869176169596,31945.841600000003,31164.154682383043,13.227809167
0.0008,0.6,0.05,0.985,30883.23534798304,0.768,375,288,87,0.18665488364148486,31684.558483579123,31083.23534798304,951,0.6648936170212766,0.35733333333333334,189,9,9,1000.0853333333333,0.009090189685987363,0,3002577,784.8862520169596,31668.121600000002,30883.23534798304,12.938479375
0.0008,0.6,0.075,0.965,36738.0759424526,0.7700534759358288,374,288,86,0.26741400587879977,37258.47974364868,36938.0759424526,946,0.669051878354204,0.5294117647058824,185,8,8,1000.1016042780749,0.009154423756196642,0,3002577,975.6603575474398,37713.73630000003,36738.0759424526,12.207333459
0.0008,0.6,0.075,0.97,36738.0759424526,0.7700534759358288,374,288,86,0.26741400587879977,37258.47974364868,36938.0759424526,946,0.669051878354204,0.5294117647058824,185,8,8,1000.1016042780749,0.009154423756196642,0,3002577,975.6603575474398,37713.73630000003,36738.0759424526,12.711326958
0.0008,0.6,0.075,0.975,36738.0759424526,0.7700534759358288,374,288,86,0.26741400587879977,37258.47974364868,36938.0759424526,946,0.669051878354204,0.5294117647058824,185,8,8,1000.1016042780749,0.009154423756196642,0,3002577,975.6603575474398,37713.73630000003,36738.0759424526,12.701697708
0.0008,0.6,0.075,0.98,36738.0759424526,0.7700534759358288,374,288,86,0.26741400587879977,37258.47974364868,36938.0759424526,946,0.669051878354204,0.5294117647058824,185,8,8,1000.1016042780749,0.009154423756196642,0,3002577,975.6603575474398,37713.73630000003,36738.0759424526,12.272736
0.0008,0.6,0.075,0.985,36457.156608052595,0.768,375,288,87,0.26741400587879977,37258.47974364868,36657.156608052595,951,0.6648936170212766,0.5306666666666666,189,9,9,1000.1013333333333,0.009124452041012377,0,3002577,978.8596919474398,37436.01630000003,36457.156608052595,12.692522125
