LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,LATENCY_ARB_MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.6,0.1,1358.400491425119,0.6956521739130435,115,80,35,0.24867005641861292,1855.374568080959,1558.400491425119,19227,0.18729641693811075,0.22608695652173913,499,2,2,292.495652173913,0.00949371878682798,10141915,0,8196349,5,1870038,94,4,516,83,2,30,11,2,486,100,3,19123,0,0,0,0,0,90.15530857488001,1448.5557999999992,1358.400491425119,118.698948625
0.0008,0.6,0.125,1453.5677286516795,0.6972477064220184,109,76,33,0.33985931329504726,2081.01386455552,1653.5677286516795,19227,0.18664383561643835,0.29357798165137616,475,2,2,293.0183486238532,0.008875934385117464,10141915,0,8196349,5,1870038,89,4,491,78,2,29,11,2,462,100,3,19123,0,358,0,0,0,104.10567134832,1557.6733999999994,1453.5677286516795,114.526009167
0.0008,0.65,0.03,463.4914169010402,0.6909090909090909,165,114,51,0.19639577557092225,811.47516914104,663.4914169010402,19468,0.4319371727748691,0.06060606060606061,217,2,2,291.7878787878788,0.01099114224928824,10141915,0,8202833,5,1868594,130,4,248,115,2,48,15,2,200,145,3,19319,0,0,0,0,0,39.690283098959995,503.1817000000002,463.4914169010402,109.083003041
0.0008,0.65,0.05,544.4242395857594,0.6863905325443787,169,116,53,0.2488275391030375,969.7947107537594,744.4242395857594,19468,0.4378238341968912,0.11834319526627218,217,2,2,291.20118343195264,0.011747118754611043,10141915,0,8202833,5,1868594,134,4,248,119,2,48,15,2,200,145,3,19319,0,0,0,0,0,58.976760414239976,603.4009999999994,544.4242395857594,109.388200834
0.0008,0.65,0.075,678.58677238032,0.6882352941176471,170,117,53,0.2932540954759319,1216.8287735483202,878.58677238032,19468,0.4392764857881137,0.1588235294117647,217,2,2,291.29411764705884,0.011289772823146286,10141915,0,8202833,5,1868594,135,4,248,120,2,48,15,2,200,145,3,19319,0,0,0,0,0,84.31082761967998,762.8976,678.58677238032,115.473326583
0.0008,0.65,0.1,792.94020692008,0.6909090909090909,165,114,51,0.31233227079805703,1443.92439074088,992.94020692008,19468,0.4342105263157895,0.22424242424242424,215,2,2,290.9757575757576,0.011441108490842752,10141915,0,8202833,5,1868594,130,4,246,115,2,48,15,2,198,145,3,19319,0,234,0,0,0,104.98929307992,897.9295,792.94020692008,117.73572875
0.0008,0.65,0.125,930.2635417137597,0.6909090909090909,165,114,51,0.3217568954671938,1666.4578440385596,1130.2635417137597,19468,0.4342105263157895,0.2545454545454545,215,2,2,290.9757575757576,0.01151728275853504,10141915,0,8202833,5,1868594,130,4,246,115,2,48,15,2,198,145,3,19319,0,234,0,0,0,121.81785828624002,1052.0813999999996,930.2635417137597,114.3146965
0.0008,0.7,0.03,440.76104087336,0.7101449275362319,207,147,60,0.20306926329953182,783.0410400093598,640.76104087336,19374,0.696969696969697,0.033816425120772944,90,2,2,289.9951690821256,0.010042144821562208,10141915,0,8173907,5,1859723,161,4,132,146,2,59,15,2,73,193,3,19177,0,0,0,0,0,42.80525912663999,483.5663,440.76104087336,110.401454041
0.0008,0.7,0.05,564.3914917700798,0.7037037037037037,216,152,64,0.27120484150311747,1021.5485498580798,764.3914917700798,19374,0.7081967213114754,0.0787037037037037,89,2,2,289.22685185185185,0.010303893193230787,10141915,0,8173907,5,1859723,169,4,132,155,2,59,14,2,73,193,3,19177,0,0,0,0,0,67.57150822992004,631.9629999999999,564.3914917700798,113.3828725
0.0008,0.7,0.075,714.0454356366395,0.7023255813953488,215,151,64,0.313664480323668,1331.7763825886395,914.0454356366395,19374,0.7072368421052632,0.12558139534883722,89,2,2,288.9162790697674,0.009659329119653167,10141915,0,8173907,5,1859723,168,4,132,154,2,59,14,2,73,193,3,19177,0,2,0,0,0,99.16616436336001,813.2115999999995,714.0454356366395,208.485295833
